incident_key,codigo_postal,crime_type,centroid_id,centroid_lat,centroid_lon,n_events,resolver_unit_id,resolver_name,resolver_category,resolver_category_label,resolver_lat,resolver_lon,allowed_resolver_categories,route_source,routing_status,distance_meters,duration_seconds,duration_minutes,static_duration_seconds,delay_seconds,encoded_polyline,route_description,generated_at_utc
06700_robo_a_negocio_2,06700,Robo a negocio,2,19.418127,-99.1671997,630,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,1772.0,579.0,9.65,532.0,47.0,ojnuBd~e|QHe@?eC_BVd@rDVdClBlPkLnBiEr@a@L}Q|CqDl@_ANxB~O,Coahuila y Monterrey/Eje 2 Pte,2026-06-06T17:36:18+00:00
06600_robo_a_transeunte_1,06600,Robo a transeúnte,1,19.4256163,-99.1648082,769,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,2553.0,1026.0,17.1,752.0,274.0,ojnuBd~e|QHe@?eC_BVd@rDVdClBlPkLnBiEr@a@L}Q|CqDl@}KjBoKhBsBd@a@LYBoD|AaEyKsChAJVzAm@Xp@,Eje 2 Pte,2026-06-06T17:36:20+00:00
11410_robo_a_transeunte_1,11410,Robo a transeúnte,1,19.4590042,-99.1877625,748,osm_node_2941425707,SSP Unidad Poniente,police,Seguridad / vigilancia,19.4719818,-99.1986607,police,google_routes,ok,2436.0,306.0,5.1,299.0,7.0,mfzuBjum|Q`CaLxCkPVaBn@mFZoBTiAj@sB|@qCdLf@nMd@PCn@CHCpMf@~LhD~@O`@U^c@Nc@fAiHPw@d@mE,Av. 5 de Mayo y Av. Aquiles Serdán,2026-06-06T17:36:21+00:00
06700_robo_a_transeunte_2,06700,Robo a transeúnte,2,19.4189302,-99.1661474,693,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,2127.0,671.0,11.183333333333334,616.0,55.0,ojnuBd~e|QHe@?eC_BVd@rDVdClBlPkLnBiEr@a@L_QtCbAbIDF?NDH?Tp@~FETIHkBXwC`@{FaFWUFOnCa@,Monterrey/Eje 2 Pte,2026-06-06T17:36:22+00:00
06090_robo_a_transeunte_1,06090,Robo a transeúnte,1,19.4260066,-99.1327351,680,osm_node_5805382651,Estacion de policia Vigilante,police,Seguridad / vigilancia,19.4201464,-99.1140589,police,google_routes,ok,2694.0,862.0,14.366666666666667,472.0,390.0,y_puBre}{Qt@kEVmAeAYyCnQ_ErT@JHPQbAs@vDIl@o@nLy@`OO~Cw@tKKb@sI]yDQ]`DWdEOb@@x@Lf@x@dBNj@G^SbG,Fray Servando Teresa de Mier,2026-06-06T17:36:24+00:00
06350_robo_a_transeunte_1,06350,Robo a transeúnte,1,19.4464347,-99.1519722,679,osm_node_4878881532,Policia Auxiliar,police,Seguridad / vigilancia,19.4535805,-99.1523035,police,google_routes,ok,2658.0,667.0,11.116666666666667,663.0,4.0,sovuBfsd|QrGr@^@PEpGv@lNxAqBvSfa@hEt@aIjB_TqPo@g@Eg@Q][]q@OQQKBWW?OHGPUbB,Dr. Atl,2026-06-06T17:36:25+00:00
06700_robo_de_vehiculo_1,06700,Robo de vehículo,1,19.4174454,-99.1590177,977,osm_node_7158690385,Estación de policía Roma,police,Seguridad / vigilancia,19.4117187,-99.1589261,police,google_routes,ok,846.0,301.0,5.016666666666667,280.0,21.0,ojnuBd~e|QHe@?eCiHjAePhCEg@{Dl@Fd@aC^QyA,C. Orizaba,2026-06-06T17:36:26+00:00
08500_robo_de_vehiculo_1,08500,Robo de vehículo,1,19.3921582,-99.0663029,719,osm_node_1477979999,Seguridad / vigilancia,police,Seguridad / vigilancia,19.3904466,-99.0637351,police,google_routes,ok,563.0,156.0,2.6,141.0,15.0,qejuBlks{Q[GDo@~@LiBnRoGy@,Sur 20 y C. 5 Sur 16,2026-06-06T17:36:27+00:00
03023_robo_de_vehiculo_1,03023,Robo de vehículo,1,19.3886484,-99.1510785,648,osm_node_3779138327,Seguridad / vigilancia,police,Seguridad / vigilancia,19.4011561,-99.1480055,police,google_routes,ok,1645.0,337.0,5.616666666666666,327.0,10.0,ehluBryc|Qxb@xARJvBfBvLvKGPG\@VRd@HJZLvBH`@INGNSJe@zO~@PsB,Zempoala y Av. Universidad,2026-06-06T17:36:28+00:00
03020_robo_de_vehiculo_1,03020,Robo de vehículo,1,19.398242,-99.1566987,602,osm_node_3779138327,Seguridad / vigilancia,police,Seguridad / vigilancia,19.4011561,-99.1480055,police,google_routes,ok,1049.0,325.0,5.416666666666667,271.0,54.0,ehluBryc|QnADnBzD~@pB`DrGHTfBlDf@jAEbCCzQIxCV@,Diag. San Antonio y La Morena,2026-06-06T17:36:30+00:00
