codigo_postal,crime_type,centroid_id,centroids_in_group,centroid_lon,centroid_lat,n_events,pct_events_group,radius_p50_m,radius_p90_m,kmeans_reason,d_codigo
01289,Narcomenudeo,1,1,-99.2094069,19.3837514,1,100.0,0.0,0.0,k=1 porque n=1 < MIN_EVENTS_TO_SPLIT=25,01289
01289,Otros incidentes,1,1,-99.2086237,19.3828622,19,100.0,114.6,222.1,k=1 porque n=19 < MIN_EVENTS_TO_SPLIT=25,01289
01289,Otros robos,1,1,-99.2095111,19.3827438,3,100.0,107.8,149.5,k=1 porque n=3 < MIN_EVENTS_TO_SPLIT=25,01289
01289,Robo a casa habitación,1,1,-99.2088025,19.3831394,4,100.0,57.4,82.9,k=1 porque n=4 < MIN_EVENTS_TO_SPLIT=25,01289
01289,Robo a negocio,1,1,-99.2083651,19.3821871,6,100.0,81.4,138.1,k=1 porque n=6 < MIN_EVENTS_TO_SPLIT=25,01289
01289,Robo a transeúnte,1,1,-99.2084247,19.3830087,7,100.0,92.8,121.4,k=1 porque n=7 < MIN_EVENTS_TO_SPLIT=25,01289
01289,Robo de vehículo,1,1,-99.2089616,19.3828589,17,100.0,129.2,211.9,k=1 porque n=17 < MIN_EVENTS_TO_SPLIT=25,01289
01289,Robo en transporte,1,1,-99.2088771,19.3827682,1,100.0,0.0,0.0,k=1 porque n=1 < MIN_EVENTS_TO_SPLIT=25,01289
01289,Violencia familiar,1,1,-99.2082577,19.3828516,19,100.0,78.6,117.8,k=1 porque n=19 < MIN_EVENTS_TO_SPLIT=25,01289
01290,Amenazas,1,2,-99.2319336,19.372356,26,56.52,161.3,420.6,k=2; silhouette=0.783; mejora=0.783,01290
01290,Amenazas,2,2,-99.2218765,19.3780824,20,43.48,166.3,241.1,k=2; silhouette=0.783; mejora=0.783,01290
01290,Daño a la propiedad,1,2,-99.2324626,19.3714791,20,62.5,357.2,538.8,k=2; silhouette=0.715; mejora=0.715,01290
01290,Daño a la propiedad,2,2,-99.2213152,19.3781932,12,37.5,207.5,216.9,k=2; silhouette=0.715; mejora=0.715,01290
01290,Delitos sexuales,1,1,-99.2295522,19.373248,9,100.0,617.9,928.0,k=1 porque n=9 < MIN_EVENTS_TO_SPLIT=25,01290
01290,Fraude y extorsión,1,2,-99.2327842,19.3707075,19,61.29,256.9,462.2,k=2; silhouette=0.751; mejora=0.751,01290
01290,Fraude y extorsión,2,2,-99.22223,19.3778997,12,38.71,179.3,283.2,k=2; silhouette=0.751; mejora=0.751,01290
01290,Homicidio,1,1,-99.23297,19.3697292,3,100.0,185.9,329.7,k=1 porque n=3 < MIN_EVENTS_TO_SPLIT=25,01290
01290,Lesiones,1,1,-99.2288173,19.373771,23,100.0,712.3,935.1,k=1 porque n=23 < MIN_EVENTS_TO_SPLIT=25,01290
01290,Narcomenudeo,1,1,-99.2271989,19.3741743,4,100.0,549.5,569.2,k=1 porque n=4 < MIN_EVENTS_TO_SPLIT=25,01290
01290,Otros incidentes,1,2,-99.2215584,19.3776943,38,30.4,151.8,234.3,k=2; silhouette=0.763; mejora=0.763,01290
01290,Otros incidentes,2,2,-99.2320476,19.3721797,87,69.6,180.9,414.0,k=2; silhouette=0.763; mejora=0.763,01290
01290,Otros robos,1,2,-99.2218168,19.3775288,44,51.76,148.6,222.3,k=2; silhouette=0.790; mejora=0.790,01290
01290,Otros robos,2,2,-99.2324044,19.3716062,41,48.24,240.2,467.2,k=2; silhouette=0.790; mejora=0.790,01290
01290,Robo a casa habitación,1,1,-99.228192,19.3741949,16,100.0,626.0,956.4,k=1 porque n=16 < MIN_EVENTS_TO_SPLIT=25,01290
01290,Robo a negocio,1,2,-99.2318538,19.3718894,49,64.47,174.3,409.1,k=2; silhouette=0.810; mejora=0.810,01290
01290,Robo a negocio,2,2,-99.2218491,19.3771258,27,35.53,102.7,162.3,k=2; silhouette=0.810; mejora=0.810,01290
01290,Robo a transeúnte,1,2,-99.2331338,19.3706546,43,53.09,204.8,344.2,k=2; silhouette=0.813; mejora=0.813,01290
01290,Robo a transeúnte,2,2,-99.2215475,19.3778574,38,46.91,167.3,245.7,k=2; silhouette=0.813; mejora=0.813,01290
01290,Robo de vehículo,1,2,-99.2327414,19.3711752,51,58.62,237.3,464.1,k=2; silhouette=0.770; mejora=0.770,01290
01290,Robo de vehículo,2,2,-99.2212561,19.3780577,36,41.38,133.3,262.7,k=2; silhouette=0.770; mejora=0.770,01290
01290,Robo en transporte,1,1,-99.2296288,19.372526,6,100.0,574.2,903.9,k=1 porque n=6 < MIN_EVENTS_TO_SPLIT=25,01290
01290,Secuestro,1,1,-99.232398,19.371752,1,100.0,0.0,0.0,k=1 porque n=1 < MIN_EVENTS_TO_SPLIT=25,01290
01290,Violencia familiar,1,2,-99.2320309,19.3724784,49,67.12,231.1,463.3,k=2; silhouette=0.765; mejora=0.765,01290
01290,Violencia familiar,2,2,-99.2217615,19.3777908,24,32.88,160.9,231.7,k=2; silhouette=0.765; mejora=0.765,01290
01296,Amenazas,1,2,-99.2369079,19.3735384,22,48.89,193.3,283.5,k=2; silhouette=0.662; mejora=0.662,01296
01296,Amenazas,2,2,-99.2300131,19.3783935,23,51.11,156.4,364.5,k=2; silhouette=0.662; mejora=0.662,01296
01296,Daño a la propiedad,1,1,-99.2341127,19.3759208,21,100.0,505.6,633.8,k=1 porque n=21 < MIN_EVENTS_TO_SPLIT=25,01296
01296,Delitos sexuales,1,1,-99.2353058,19.3744567,6,100.0,323.6,537.2,k=1 porque n=6 < MIN_EVENTS_TO_SPLIT=25,01296
01296,Fraude y extorsión,1,1,-99.2323265,19.3768319,25,100.0,466.3,741.1,k=1 porque n=25 no alcanza MIN_EVENTS_PER_CENTROID=15,01296
01296,Homicidio,1,1,-99.2335425,19.3758962,11,100.0,396.4,628.1,k=1 porque n=11 < MIN_EVENTS_TO_SPLIT=25,01296
01296,Lesiones,1,1,-99.232237,19.3767549,27,100.0,469.4,730.9,k=1 porque n=27 no alcanza MIN_EVENTS_PER_CENTROID=15,01296
01296,Narcomenudeo,1,1,-99.2312398,19.3774888,17,100.0,427.4,950.1,k=1 porque n=17 < MIN_EVENTS_TO_SPLIT=25,01296
01296,Otros incidentes,1,2,-99.2299063,19.3785361,53,58.24,211.3,384.1,k=2; silhouette=0.641; mejora=0.641,01296
01296,Otros incidentes,2,2,-99.2367704,19.3736246,38,41.76,172.2,324.5,k=2; silhouette=0.641; mejora=0.641,01296
01296,Otros robos,1,2,-99.2311005,19.3776999,28,54.9,234.9,402.7,k=2; silhouette=0.637; mejora=0.637,01296
01296,Otros robos,2,2,-99.2373879,19.3732324,23,45.1,110.2,239.7,k=2; silhouette=0.637; mejora=0.637,01296
01296,Robo a casa habitación,1,1,-99.2317185,19.3769114,9,100.0,530.6,863.4,k=1 porque n=9 < MIN_EVENTS_TO_SPLIT=25,01296
01296,Robo a negocio,1,1,-99.2318788,19.3771673,23,100.0,315.0,608.4,k=1 porque n=23 < MIN_EVENTS_TO_SPLIT=25,01296
01296,Robo a transeúnte,1,2,-99.2306417,19.3783576,38,73.08,184.4,347.1,k=2; silhouette=0.644; mejora=0.644,01296
01296,Robo a transeúnte,2,2,-99.2367522,19.3733892,14,26.92,211.4,346.4,k=2; silhouette=0.644; mejora=0.644,01296
01296,Robo de vehículo,1,2,-99.2371868,19.3731491,29,39.73,142.1,331.5,k=2; silhouette=0.671; mejora=0.671,01296
01296,Robo de vehículo,2,2,-99.2302891,19.378258,44,60.27,221.7,339.4,k=2; silhouette=0.671; mejora=0.671,01296
01296,Robo en transporte,1,1,-99.2300198,19.3784502,7,100.0,171.1,330.6,k=1 porque n=7 < MIN_EVENTS_TO_SPLIT=25,01296
01296,Violencia familiar,1,2,-99.2365683,19.3734421,50,45.05,195.6,286.9,k=2; silhouette=0.631; mejora=0.631,01296
01296,Violencia familiar,2,2,-99.2300276,19.3784209,61,54.95,263.7,379.6,k=2; silhouette=0.631; mejora=0.631,01296
01298,Amenazas,1,1,-99.22768,19.3711879,23,100.0,302.0,711.0,k=1 porque n=23 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Daño a la propiedad,1,1,-99.2268371,19.3719209,15,100.0,462.0,787.3,k=1 porque n=15 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Delitos sexuales,1,1,-99.2302712,19.3693079,2,100.0,70.9,70.9,k=1 porque n=2 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Fraude y extorsión,1,1,-99.2279124,19.3713104,12,100.0,463.1,725.1,k=1 porque n=12 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Homicidio,1,1,-99.229582,19.3705707,4,100.0,401.3,565.3,k=1 porque n=4 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Lesiones,1,1,-99.2271598,19.3719275,10,100.0,476.6,704.6,k=1 porque n=10 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Narcomenudeo,1,1,-99.2277815,19.3710799,8,100.0,584.5,737.6,k=1 porque n=8 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Otros incidentes,1,2,-99.2306846,19.3698117,26,57.78,246.4,364.2,k=2; silhouette=0.644; mejora=0.644,01298
01298,Otros incidentes,2,2,-99.2228259,19.3740136,19,42.22,159.4,444.7,k=2; silhouette=0.644; mejora=0.644,01298
01298,Otros robos,1,1,-99.2261858,19.3723421,23,100.0,535.4,851.8,k=1 porque n=23 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Robo a casa habitación,1,1,-99.227263,19.3713262,7,100.0,244.9,583.8,k=1 porque n=7 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Robo a negocio,1,1,-99.2286714,19.370699,14,100.0,282.3,514.7,k=1 porque n=14 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Robo a transeúnte,1,2,-99.2218216,19.3745502,18,56.25,183.1,361.1,k=2; silhouette=0.738; mejora=0.738,01298
01298,Robo a transeúnte,2,2,-99.2315044,19.3691575,14,43.75,158.1,269.3,k=2; silhouette=0.738; mejora=0.738,01298
01298,Robo de vehículo,1,2,-99.2308401,19.3699605,27,72.97,183.0,345.6,k=2; silhouette=0.653; mejora=0.653,01298
01298,Robo de vehículo,2,2,-99.2231259,19.3739506,10,27.03,305.8,415.7,k=2; silhouette=0.653; mejora=0.653,01298
01298,Robo en transporte,1,1,-99.2220416,19.3740993,5,100.0,365.0,570.4,k=1 porque n=5 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Secuestro,1,1,-99.2291315,19.3695362,2,100.0,398.7,398.7,k=1 porque n=2 < MIN_EVENTS_TO_SPLIT=25,01298
01298,Violencia familiar,1,2,-99.2296878,19.370122,31,60.78,237.8,372.7,k=2; silhouette=0.657; mejora=0.657,01298
01298,Violencia familiar,2,2,-99.2219989,19.3748688,20,39.22,174.1,333.4,k=2; silhouette=0.657; mejora=0.657,01298
01299,Amenazas,1,1,-99.2269181,19.3753088,22,100.0,207.0,386.1,k=1 porque n=22 < MIN_EVENTS_TO_SPLIT=25,01299
01299,Daño a la propiedad,1,1,-99.2271089,19.3747164,14,100.0,221.3,424.9,k=1 porque n=14 < MIN_EVENTS_TO_SPLIT=25,01299
01299,Delitos sexuales,1,1,-99.2269168,19.3746884,10,100.0,338.3,424.8,k=1 porque n=10 < MIN_EVENTS_TO_SPLIT=25,01299
01299,Fraude y extorsión,1,1,-99.2267785,19.3751358,15,100.0,286.7,425.2,k=1 porque n=15 < MIN_EVENTS_TO_SPLIT=25,01299
01299,Homicidio,1,1,-99.2272149,19.3752716,4,100.0,141.1,170.4,k=1 porque n=4 < MIN_EVENTS_TO_SPLIT=25,01299
01299,Lesiones,1,1,-99.2270224,19.3750724,16,100.0,283.4,398.8,k=1 porque n=16 < MIN_EVENTS_TO_SPLIT=25,01299
01299,Narcomenudeo,1,1,-99.2263285,19.3744996,5,100.0,167.3,212.8,k=1 porque n=5 < MIN_EVENTS_TO_SPLIT=25,01299
01299,Otros incidentes,1,2,-99.2286415,19.373421,13,40.62,124.5,224.6,k=2; silhouette=0.564; mejora=0.564,01299
01299,Otros incidentes,2,2,-99.2247358,19.3770581,19,59.38,188.1,333.2,k=2; silhouette=0.564; mejora=0.564,01299
01299,Otros robos,1,1,-99.2266795,19.3749644,29,100.0,281.6,400.3,k=1 porque n=29 no alcanza MIN_EVENTS_PER_CENTROID=15,01299
01299,Robo a casa habitación,1,1,-99.227157,19.3745836,8,100.0,196.1,381.4,k=1 porque n=8 < MIN_EVENTS_TO_SPLIT=25,01299
01299,Robo a negocio,1,1,-99.2278509,19.3734872,10,100.0,349.0,463.7,k=1 porque n=10 < MIN_EVENTS_TO_SPLIT=25,01299
01299,Robo a transeúnte,1,2,-99.2283918,19.3726366,19,47.5,127.1,259.4,k=2; silhouette=0.503; mejora=0.503,01299
01299,Robo a transeúnte,2,2,-99.2250114,19.3762628,21,52.5,173.3,345.2,k=2; silhouette=0.503; mejora=0.503,01299
01299,Robo de vehículo,1,2,-99.2273244,19.3736498,19,52.78,208.5,296.8,k=2; silhouette=0.422; mejora=0.422,01299
01299,Robo de vehículo,2,2,-99.2246294,19.3774875,17,47.22,222.3,347.5,k=2; silhouette=0.422; mejora=0.422,01299
01299,Secuestro,1,1,-99.225112,19.3759163,3,100.0,203.1,224.4,k=1 porque n=3 < MIN_EVENTS_TO_SPLIT=25,01299
01299,Violencia familiar,1,2,-99.225026,19.3771283,29,48.33,183.7,327.8,k=2; silhouette=0.538; mejora=0.538,01299
01299,Violencia familiar,2,2,-99.2280877,19.3734721,31,51.67,151.3,247.4,k=2; silhouette=0.538; mejora=0.538,01299
01310,Amenazas,1,1,-99.252927,19.3799191,3,100.0,589.1,1030.7,k=1 porque n=3 < MIN_EVENTS_TO_SPLIT=25,01310
