unit_id,name,category,lat,lon,operator,osm_type,osm_id,source,category_label
osm_node_12560402801,Noor Clinic,hospital,19.4309949,-99.2820695,,node,12560402801,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12568798767,Sanatorio Santa Esperanza,hospital,19.4528623,-99.276267,,node,12568798767,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12599631530,ISSSTE Hospital General José María Morelos y Pavón,hospital,19.3630536,-98.9952885,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,node,12599631530,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12607721478,Macfer,hospital,19.358831,-99.2814581,,node,12607721478,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12627989801,Seguridad / vigilancia,police,19.3031354,-99.1597833,,node,12627989801,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_12628891030,Luna Amparo Ochoa,hospital,19.3483646,-99.3030516,Unidad territorial de atención y prevención de la violencia de género,node,12628891030,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12628903603,"Clínica de Atención Integral de la Mujer ""Romero Rubio""",hospital,19.4439419,-99.0903861,SEDESA,node,12628903603,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12628945585,Luna Amparo O Castorena,hospital,19.3569212,-99.2944801,Gobierno de la Ciudad de México,node,12628945585,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_12840603601,Estación Norte de Bomberos CEMEX Arturo Zapata Gil,fire_station,19.5783839,-99.2061543,,node,12840603601,openstreetmap_overpass_cached,Bomberos / proteccion civil
osm_node_12984992701,Hospitalito,hospital,19.4400723,-99.1941519,,node,12984992701,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_13039851981,CEMENAV - CENTRO MÉDICO NAVAL,hospital,19.3235342,-99.125514,SEMAR,node,13039851981,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_13054708711,Seguridad / vigilancia,police,19.3722337,-99.1492579,Gobierno de la Ciudad de México,node,13054708711,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_13090520280,Seguridad / vigilancia,police,19.4555506,-99.2059696,,node,13090520280,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_13090520281,Seguridad / vigilancia,police,19.4488915,-99.2047939,,node,13090520281,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_13107722564,Seguridad / vigilancia,police,19.4720901,-99.2460044,,node,13107722564,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_node_13187632988,Centro Universitario de Enfermería Comunitaria,hospital,19.2576212,-99.0350129,"Facultad de Enfermería y Obstetricia, UNAM",node,13187632988,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_13430477132,Edificio de enseñanza médica Hospital Juárez,hospital,19.4239838,-99.1307816,,node,13430477132,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_13636072310,Casa Azul Comunidad Terapéutica,hospital,19.387243,-99.1494763,,node,13636072310,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_13683152785,IMSS Bienestar Reforma Urbana,hospital,19.5720299,-99.1834594,Instituto Mexicano del Seguro Social,node,13683152785,openstreetmap_overpass_cached,Salud / emergencia medica
osm_node_13731129901,Urgencias ortopedicas INR-LGII,hospital,19.2888964,-99.1477531,,node,13731129901,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_25364122,Hospital San Angel Inn Universidad,hospital,19.3597768,-99.1677047,,way,25364122,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_26550267,Depósito Vehicular Troncoso,police,19.3924961,-99.1149739,Secretaría de Seguridad Ciudadana,way,26550267,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_way_27804337,Centro Médico ABC,hospital,19.4002123,-99.2039979,,way,27804337,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_28932842,Hospital Ángeles del Pedregal,hospital,19.3126463,-99.2210233,,way,28932842,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_30373861,Hospital Español,hospital,19.4395705,-99.1963836,,way,30373861,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_30374094,Hospital Central Militar,hospital,19.4373297,-99.216189,,way,30374094,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_30854789,Tecali,police,19.4172262,-99.2370127,,way,30854789,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_way_30910883,"Hospital General ""Dr. Darío Fernández Fierro""",hospital,19.3634914,-99.1884574,Instituto de Seguridad y Servicios Sociales para los Trabajadores del Estado,way,30910883,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_30911592,Hospital Angeles Lomas,hospital,19.3949604,-99.2819914,,way,30911592,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_30965126,Centro Médico ABC,hospital,19.3563214,-99.2823418,,way,30965126,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_39544321,Centro Medico Nacional Siglo XXI,hospital,19.4091815,-99.1528235,Instituto Mexicano del Seguro Social,way,39544321,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_54241683,Depósito Vehicular  Añil,police,19.4069299,-99.1032509,Secretaría de Seguridad Ciudadana,way,54241683,openstreetmap_overpass_cached,Seguridad / vigilancia
osm_way_79682915,Hospital Ángeles Lindavista,hospital,19.4865571,-99.1293597,,way,79682915,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_79683408,Hospital 1º de Octubre ISSSTE,hospital,19.4867184,-99.1330709,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,way,79683408,openstreetmap_overpass_cached,Salud / emergencia medica
osm_way_79683964,Hospital de Gineco Pediatría 3A,hospital,19.4860356,-99.1355271,,way,79683964,openstreetmap_overpass_cached,Salud / emergencia medica
